,Measured_dis,Real_dis,angle,error
1,19.42,18.8,5.6,0.62
2,19.4,19.2,11.2,0.2
3,19.41,19.4,16.8,0.01
4,19.4,19.6,22.4,0.2
5,20.7,19.9,28,0.8
6,25.98,21.1,33.6,4.88
7,30.65,22.1,39.2,8.55
8,34.82,23.3,44.8,11.52
9,36.21,24.6,50.4,11.61
10,28.45,27.1,56,1.35
11,29.32,28.7,61.6,0.62
12,27.97,27.8,67.2,0.17
13,27.13,27.2,72.8,0.07
14,27.1,26.6,78.4,0.5
15,27.12,26.4,84,0.72
16,26.64,26.5,89.6,0.14
17,27.08,26.9,95.2,0.18
18,27.09,27.4,100.8,0.31
19,27.97,28.2,106.4,0.23
20,28.79,29.6,112,0.81
21,30.03,31.2,117.6,1.17
22,34.8,33.3,123.2,1.5
23,39.36,34.1,128.8,5.26
24,39.12,35.2,134.4,3.92
25,39.42,34.3,140,5.12
26,32.56,27.9,145.6,4.66
27,27.22,26.8,151.2,0.42
28,25.47,24.5,156.8,0.97
29,24.49,23.8,162.4,0.69
30,23.65,23.2,168,0.45
31,22.73,22.9,173.6,0.17
32,22.75,22.8,179.2,0.05
33,22.78,22.5,184.8,0.28
34,22.74,22.3,190.4,0.44
35,22.73,22,196,0.73
36,23.61,22.8,201.6,0.81
37,23.63,23.4,207.2,0.23
38,23.66,24,212.8,0.34
39,24.53,25.2,218.4,0.67
40,39.86,27.8,224,12.06
41,35.04,31.2,229.6,3.84
42,34.71,33.9,235.2,0.81
43,33.45,32.3,240.8,1.15
44,31.28,30.4,246.4,0.88
45,28.82,28.7,252,0.12
46,28.73,28.5,257.6,0.23
47,28.77,27.8,263.2,0.97
48,27.44,26.9,268.8,0.54
49,27.44,27.1,274.4,0.34
50,27.41,27.3,280,0.11
51,27.38,27.4,285.6,0.02
52,28.27,27.6,291.2,0.67
53,28.26,27.9,296.8,0.36
54,29.53,29.4,302.4,0.13
55,29.51,29.7,308,0.19
56,34.79,30.9,313.6,3.89
57,34.82,26.8,319.2,3.02
58,24.41,24.9,324.8,1.49
59,19.45,21.7,330.4,2.25
60,18.17,20.4,336,2.23
61,17.79,19.8,341.6,0.61
62,17.79,19,347.2,0.21
63,17.84,18.8,352.8,0.04
64,17.86,18.4,358.4,0.46
