,Measured_dis,Real_dis,angle,error
1,23.04,23.1,5.6,0.06
2,23.35,23.3,11.2,0.05
3,23.91,23.7,16.8,0.21
4,24.23,23.9,22.4,0.33
5,26.58,24.9,28,1.68
6,24.73,24.4,33.6,0.33
7,27.4,26.5,39.2,0.9
8,28.72,26.8,44.8,1.92
9,28.74,23.1,50.4,5.64
10,21.85,22.3,56,0.45
11,20.97,21.4,61.6,0.43
12,21.05,21,67.2,0.05
13,21.88,21.3,72.8,0.58
14,20.95,20.6,78.4,0.35
15,21.17,20.7,84,0.47
16,20.67,20.9,89.6,0.23
17,20.89,21.2,95.2,0.31
18,21.21,21.6,100.8,0.39
19,23.32,22.2,106.4,1.12
20,23.38,23.4,112,0.02
21,23.34,24.2,117.6,0.86
22,24.23,24,123.2,0.23
23,23.29,23.1,128.8,0.19
24,23.34,22.9,134.4,0.44
25,23.31,23.1,140,0.21
26,23.28,23.6,145.6,0.32
27,23.32,23.5,151.2,0.18
28,23.33,23.7,156.8,0.37
29,24.22,24.1,162.4,0.12
30,24.24,25.1,168,0.86
31,25.06,25.3,173.6,0.24
32,28.49,26.8,179.2,1.69
33,28.47,29.4,184.8,0.93
34,34.01,31.3,190.4,2.71
35,35.72,30.1,196,5.62
36,36.16,27.4,201.6,8.76
37,28.77,26.4,207.2,2.37
38,25.51,25.6,212.8,0.09
39,24.52,25.1,218.4,0.58
40,24.52,23.9,224,0.62
41,24.49,23.8,229.6,0.69
42,24.46,23.7,235.2,0.76
43,24.54,24.1,240.8,0.44
44,24.5,24.2,246.4,0.3
45,24.53,25.3,252,0.77
46,23.67,25.4,257.6,1.73
47,23.65,24.1,263.2,0.45
48,22.75,23.1,268.8,0.35
49,21.9,21.7,274.4,0.2
50,22.12,21.9,280,0.22
51,22.4,21.9,285.6,0.5
52,22.87,22,291.2,0.87
53,22.98,22.1,296.8,0.88
54,23.2,22.8,302.4,0.4
55,23.42,22.9,308,0.52
56,24.18,23.5,313.6,0.68
57,25.13,23.9,319.2,1.23
58,25.09,25.1,324.8,0.01
59,25.91,28.1,330.4,2.19
60,24.15,25.1,336,0.95
61,23.35,24.2,341.6,0.85
62,23.31,23.2,347.2,0.11
63,22.53,22.9,352.8,0.37
64,22.49,22.3,358.4,0.19
